Title,Genre,Premiere,Runtime,IMDB Score,Language
7 años,Drama,28-Oct-2016,76,6.8,Spanish
A Futile and Stupid Gesture,Biographical/Comedy,26-Jan-2018,101,6.8,English
A Life of Speed: The Juan Manuel Fangio Story,Documentary,20-Mar-2020,92,6.8,Spanish
A Love Song for Latasha,Documentary,21-Sep-2020,19,6.8,English
All in My Family,Documentary,3-May-2019,39,6.8,English/Mandarin
Always Be My Maybe,Romantic comedy,31-May-2019,102,6.8,English
Becoming,Documentary,6-May-2020,89,6.8,English
Long Live Brij Mohan,Comedy,3-Aug-2018,105,6.8,Hindi
Calibre,Thriller,29-Jun-2018,101,6.8,English
Death to 2020,Comedy,27-Dec-2020,70,6.8,English
GIMS: On the Record,Documentary,17-Sep-2020,96,6.8,French
Have a Good Trip: Adventures in Psychedelics,Documentary,11-May-2020,85,6.8,English
Heroin(e) ,Documentary,12-Sep-2017,39,6.8,English
Mercury 13,Documentary,20-Apr-2018,79,6.8,English
Saving Capitalism,Documentary,21-Nov-2017,73,6.8,English
Serious Men,Drama,2-Oct-2020,114,6.8,Hindi
The Boys in the Band,Drama,30-Sep-2020,121,6.8,English
The Boys in the Band: Something Personal,Aftershow / Interview,30-Sep-2020,28,6.8,English
The Life Ahead,Drama,13-Nov-2020,95,6.8,Italian
The Other Side of the Wind,Drama,2-Nov-2018,122,6.8,English
The Trader,Documentary,9-Feb-2018,23,6.8,Georgian
To the Bone,Drama,14-Jul-2017,107,6.8,English
Tony Parker: The Final Shot,Documentary,6-Jan-2021,98,6.8,French
AK vs AK,Thriller,24-Dec-2020,108,6.9,Hindi
Amanda Knox,Documentary,30-Sep-2016,92,6.9,English
Bigflo & Oil: Hip Hop Frenzy,Documentary,8-Oct-2020,100,6.9,French
Biggie: I Got a Story to Tell,Documentary,1-Mar-2021,97,6.9,English
Cops and Robbers,Animation / Short,28-Dec-2020,7,6.9,English
I Don't Feel at Home in This World Anymore,Drama,24-Feb-2017,96,6.9,English
Laerte-se,Documentary,19-May-2017,100,6.9,Portuguese
